Graph Algorithm population nodes edges steps fitness_evaluations covering_size edges_covered fitness
ca-GrQc_clean EA 60 5242 14496 44835 44894 3212 13596 24730710812
ca-GrQc_clean EA 80 5242 14496 44815 44894 3064 13288 33194108376
ca-GrQc_clean EA 80 5242 14496 44815 44894 3031 13218 35117607823
ca-GrQc_clean EA 100 5242 14496 44795 44894 3024 13013 40750713436
ca-GrQc_clean EA 80 5242 14496 44815 44894 3039 13257 34045943835
ca-GrQc_clean EA 80 5242 14496 44815 44894 3055 13208 35392393487
ca-GrQc_clean EA 80 5242 14496 44815 44894 3082 13339 31792701630
ca-GrQc_clean EA 80 5242 14496 44815 44894 3013 13224 34952736421
ca-GrQc_clean EA 100 5242 14496 44795 44894 3003 13014 40723234851
ca-GrQc_clean EA 100 5242 14496 44795 44894 2977 13042 39953835033
ca-GrQc_clean EA 80 5242 14496 44815 44894 3125 13332 31985051621
ca-GrQc_clean EA 100 5242 14496 44795 44894 2985 13004 40998020473
ca-GrQc_clean EA 100 5242 14496 44795 44894 2948 13057 39541656544
ca-GrQc_clean EA 30 5242 14496 44865 44894 3455 14162 9177843831
ca-GrQc_clean EA 30 5242 14496 44865 44894 3476 14169 8985493904
ca-GrQc_clean EA 30 5242 14496 44865 44894 3425 14158 9287758057
ca-GrQc_clean EA 30 5242 14496 44865 44894 3442 14109 10634207710
ca-GrQc_clean EA 50 5242 14496 44845 44894 3217 13713 21515718829
ca-GrQc_clean EA 50 5242 14496 44845 44894 3210 13728 21103540362
ca-GrQc_clean EA 50 5242 14496 44845 44894 3255 13742 20718840511
ca-GrQc_clean EA 30 5242 14496 44865 44894 3425 14158 9287758057
ca-GrQc_clean EA 30 5242 14496 44865 44894 3480 14160 9232800984
ca-GrQc_clean EA 70 5242 14496 44825 44894 3120 13395 30253902084
ca-GrQc_clean EA 30 5242 14496 44865 44894 3456 14141 9754893676
ca-GrQc_clean EA 90 5242 14496 44805 44894 3032 13168 36491536024
ca-GrQc_clean EA 30 5242 14496 44865 44894 3512 14194 8298529840
ca-GrQc_clean EA 90 5242 14496 44805 44894 3037 13157 36793800233
ca-GrQc_clean EA 10 5242 14496 44885 44894 3408 14488 219831920
ca-GrQc_clean EA 50 5242 14496 44845 44894 3255 13719 21350847483
ca-GrQc_clean EA 50 5242 14496 44845 44894 3249 13724 21213454657
ca-GrQc_clean EA 30 5242 14496 44865 44894 3442 14141 9754893662
ca-GrQc_clean EA 90 5242 14496 44805 44894 3058 13187 35969443334
ca-GrQc_clean EA 10 5242 14496 44885 44894 3392 14490 164874776
ca-GrQc_clean EA 10 5242 14496 44885 44894 3348 14488 219831860
ca-GrQc_clean EA 30 5242 14496 44865 44894 3451 14148 9562543723
ca-GrQc_clean EA 10 5242 14496 44885 44894 3394 14491 137396214
ca-GrQc_clean EA 50 5242 14496 44845 44894 3258 13764 20114312106
