Algorithm nodes edges power_exponent steps covering_size edges_covered fitness
EA 500 1952 2.15 24858 223 1952 223
EA 500 1952 2.15 24858 224 1952 224
EA 500 1952 2.15 24858 223 1952 223
EA 500 1952 2.15 24858 223 1952 223
EA 500 1952 2.15 24858 232 1952 232
EA 500 1952 2.15 24858 237 1952 237
EA 500 1952 2.15 24858 227 1952 227
EA 500 1952 2.15 24858 220 1952 220
EA 500 1952 2.15 24858 223 1952 223
EA 500 1952 2.15 24858 231 1952 231
EA 500 1952 2.15 24858 221 1952 221
EA 500 1952 2.15 24858 234 1952 234
EA 500 1952 2.15 24858 226 1952 226
EA 500 1952 2.15 24858 225 1952 225
EA 500 1952 2.15 24858 241 1952 241
EA 500 1952 2.15 24858 236 1952 236
EA 500 1952 2.15 24858 223 1952 223
EA 500 1952 2.15 24858 226 1952 226
EA 500 1952 2.15 24858 225 1952 225
EA 500 1952 2.15 24858 231 1952 231
EA 500 1952 2.15 24858 221 1952 221
EA 500 1952 2.15 24858 225 1952 225
EA 500 1952 2.15 24858 235 1952 235
EA 500 1952 2.15 24858 223 1952 223
EA 500 1952 2.15 24858 220 1952 220
EA 500 1952 2.15 24858 226 1952 226
EA 500 1952 2.15 24858 226 1952 226
EA 500 1952 2.15 24858 218 1952 218
EA 500 1952 2.15 24858 223 1952 223
EA 500 1952 2.15 24858 220 1952 220
EA 500 1952 2.15 24858 221 1952 221
EA 500 1952 2.15 24858 234 1952 234
EA 500 1952 2.15 24858 230 1952 230
EA 500 1952 2.15 24858 232 1952 232
EA 500 1952 2.15 24858 220 1952 220
EA 500 1952 2.15 24858 238 1952 238
EA 500 1952 2.15 24858 232 1952 232
EA 500 1952 2.15 24858 222 1952 222
EA 500 1952 2.15 24858 230 1952 230
EA 500 1952 2.15 24858 220 1952 220
EA 500 1952 2.15 24858 225 1952 225
EA 500 1952 2.15 24858 231 1952 231
EA 500 1952 2.15 24858 233 1952 233
EA 500 1952 2.15 24858 236 1952 236
EA 500 1952 2.15 24858 233 1952 233
EA 500 1952 2.15 24858 218 1952 218
EA 500 1952 2.15 24858 234 1952 234
EA 500 1952 2.15 24858 223 1952 223
EA 500 1952 2.15 24858 226 1952 226
EA 500 1952 2.15 24858 229 1952 229
EA 500 1952 2.15 24858 225 1952 225
EA 500 1952 2.15 24858 220 1952 220
EA 500 1952 2.15 24858 224 1952 224
EA 500 1952 2.15 24858 228 1952 228
EA 500 1952 2.15 24858 220 1952 220
EA 500 1952 2.15 24858 218 1952 218
EA 500 1952 2.15 24858 231 1952 231
EA 500 1952 2.15 24858 230 1952 230
EA 500 1952 2.15 24858 223 1952 223
EA 500 1952 2.15 24858 219 1952 219
EA 500 1952 2.15 24858 220 1952 220
EA 500 1952 2.15 24858 231 1952 231
EA 500 1952 2.15 24858 221 1952 221
EA 500 1952 2.15 24858 227 1952 227
EA 500 1952 2.15 24858 221 1952 221
EA 500 1952 2.15 24858 238 1952 238
EA 500 1952 2.15 24858 223 1952 223
EA 500 1952 2.15 24858 234 1952 234
EA 500 1952 2.15 24858 230 1952 230
EA 500 1952 2.15 24858 237 1952 237
EA 500 1952 2.15 24858 221 1952 221
EA 500 1952 2.15 24858 225 1952 225
EA 500 1952 2.15 24858 223 1952 223
EA 500 2237 2.2 24858 254 2237 254
EA 500 2237 2.2 24858 247 2237 247
EA 500 2237 2.2 24858 246 2237 246
EA 500 2237 2.2 24858 267 2237 267
EA 500 2237 2.2 24858 253 2237 253
EA 500 2237 2.2 24858 254 2237 254
EA 500 2237 2.2 24858 251 2237 251
EA 500 2237 2.2 24858 257 2237 257
EA 500 2237 2.2 24858 256 2237 256
EA 500 2237 2.2 24858 246 2237 246
EA 500 2237 2.2 24858 258 2237 258
EA 500 2237 2.2 24858 257 2237 257
