Algorithm nodes edges power_exponent steps covering_size edges_covered fitness
EA 149 637 2.5 5964 82 637 82
EA 149 637 2.5 5964 83 637 83
EA 149 637 2.5 5964 88 637 88
EA 149 637 2.5 5964 84 637 84
EA 149 637 2.5 5964 84 637 84
EA 149 637 2.5 5964 82 637 82
EA 149 637 2.5 5964 83 637 83
EA 149 637 2.5 5964 83 637 83
EA 149 637 2.5 5964 82 637 82
EA 149 637 2.5 5964 88 637 88
EA 149 637 2.5 5964 88 637 88
EA 149 637 2.5 5964 87 637 87
EA 149 637 2.5 5964 88 637 88
EA 149 637 2.5 5964 85 637 85
EA 149 637 2.5 5964 83 637 83
EA 149 637 2.5 5964 86 637 86
EA 149 637 2.5 5964 84 637 84
EA 149 637 2.5 5964 87 637 87
EA 149 637 2.5 5964 83 637 83
EA 149 637 2.5 5964 100 637 100
EA 149 637 2.5 5964 85 637 85
EA 149 637 2.5 5964 84 637 84
EA 149 637 2.5 5964 81 637 81
EA 149 637 2.5 5964 83 637 83
EA 149 637 2.5 5964 87 637 87
EA 149 637 2.5 5964 84 637 84
EA 149 637 2.5 5964 83 637 83
EA 149 637 2.5 5964 83 637 83
EA 149 637 2.5 5964 84 637 84
EA 149 637 2.5 5964 83 637 83
EA 149 637 2.5 5964 82 637 82
EA 149 637 2.5 5964 82 637 82
EA 149 637 2.5 5964 83 637 83
EA 149 637 2.5 5964 83 637 83
EA 149 637 2.5 5964 82 637 82
EA 149 637 2.5 5964 84 637 84
EA 149 637 2.5 5964 83 637 83
EA 149 637 2.5 5964 84 637 84
EA 149 637 2.5 5964 81 637 81
EA 149 637 2.5 5964 81 637 81
EA 196 829 2.5 8276 113 829 113
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 111 829 111
EA 196 829 2.5 8276 111 829 111
EA 196 829 2.5 8276 109 829 109
EA 196 829 2.5 8276 109 829 109
EA 196 829 2.5 8276 109 829 109
EA 196 829 2.5 8276 107 829 107
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 107 829 107
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 111 829 111
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 107 829 107
EA 196 829 2.5 8276 115 829 115
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 113 829 113
EA 196 829 2.5 8276 109 829 109
EA 196 829 2.5 8276 111 829 111
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 115 829 115
EA 196 829 2.5 8276 113 829 113
EA 196 829 2.5 8276 107 829 107
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 114 829 114
EA 196 829 2.5 8276 111 829 111
EA 196 829 2.5 8276 115 829 115
EA 196 829 2.5 8276 114 829 114
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 111 829 111
EA 196 829 2.5 8276 112 829 112
EA 196 829 2.5 8276 112 829 112
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 112 829 112
EA 196 829 2.5 8276 117 829 117
EA 196 829 2.5 8276 111 829 111
EA 196 829 2.5 8276 113 829 113
EA 196 829 2.5 8276 111 829 111
EA 196 829 2.5 8276 107 829 107
EA 196 829 2.5 8276 114 829 114
EA 196 829 2.5 8276 115 829 115
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 112 829 112
EA 196 829 2.5 8276 114 829 114
EA 196 829 2.5 8276 109 829 109
EA 196 829 2.5 8276 114 829 114
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 109 829 109
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 112 829 112
EA 196 829 2.5 8276 112 829 112
EA 196 829 2.5 8276 113 829 113
EA 196 829 2.5 8276 114 829 114
EA 196 829 2.5 8276 107 829 107
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 117 829 117
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 111 829 111
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 117 829 117
EA 196 829 2.5 8276 115 829 115
EA 196 829 2.5 8276 109 829 109
EA 196 829 2.5 8276 115 829 115
EA 196 829 2.5 8276 109 829 109
EA 196 829 2.5 8276 112 829 112
EA 196 829 2.5 8276 107 829 107
EA 196 829 2.5 8276 120 829 120
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 120 829 120
EA 196 829 2.5 8276 107 829 107
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 109 829 109
EA 196 829 2.5 8276 115 829 115
EA 196 829 2.5 8276 109 829 109
EA 196 829 2.5 8276 111 829 111
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 112 829 112
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 112 829 112
EA 196 829 2.5 8276 111 829 111
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 110 829 110
EA 196 829 2.5 8276 107 829 107
EA 196 829 2.5 8276 114 829 114
EA 196 829 2.5 8276 108 829 108
EA 196 829 2.5 8276 107 829 107
EA 196 829 2.5 8276 118 829 118
EA 196 829 2.5 8276 112 829 112
EA 196 829 2.5 8276 114 829 114
EA 196 829 2.5 8276 110 829 110
EA 246 1002 2.5 10834 136 1002 136
EA 246 1002 2.5 10834 134 1002 134
EA 246 1002 2.5 10834 135 1002 135
EA 246 1002 2.5 10834 133 1002 133
EA 246 1002 2.5 10834 135 1002 135
EA 246 1002 2.5 10834 141 1002 141
EA 246 1002 2.5 10834 135 1002 135
EA 246 1002 2.5 10834 137 1002 137
EA 246 1002 2.5 10834 132 1002 132
EA 246 1002 2.5 10834 134 1002 134
EA 246 1002 2.5 10834 139 1002 139
EA 246 1002 2.5 10834 141 1002 141
EA 246 1002 2.5 10834 135 1002 135
EA 246 1002 2.5 10834 133 1002 133
EA 246 1002 2.5 10834 136 1002 136
