Algorithm nodes edges power_exponent steps covering_size edges_covered fitness
EA 150 2362 2.5 6012 121 2362 121
EA 150 2362 2.5 6012 118 2362 118
EA 150 2362 2.5 6012 121 2362 121
EA 150 2362 2.5 6012 124 2362 124
EA 150 2362 2.5 6012 116 2362 116
EA 150 2362 2.5 6012 116 2362 116
EA 150 2362 2.5 6012 123 2362 123
EA 150 2362 2.5 6012 121 2362 121
EA 150 2362 2.5 6012 123 2362 123
EA 150 2362 2.5 6012 120 2362 120
EA 150 2362 2.5 6012 124 2362 124
EA 150 2362 2.5 6012 123 2362 123
EA 150 2362 2.5 6012 124 2362 124
EA 150 2362 2.5 6012 123 2362 123
EA 150 2362 2.5 6012 122 2362 122
EA 150 2362 2.5 6012 126 2362 126
EA 150 2362 2.5 6012 123 2362 123
EA 150 2362 2.5 6012 121 2362 121
EA 150 2362 2.5 6012 120 2362 120
EA 150 2362 2.5 6012 122 2362 122
EA 150 2362 2.5 6012 123 2362 123
EA 150 2362 2.5 6012 123 2362 123
EA 150 2362 2.5 6012 125 2362 125
EA 150 2362 2.5 6012 123 2362 123
EA 150 2362 2.5 6012 121 2362 121
EA 150 2362 2.5 6012 122 2362 122
EA 150 2362 2.5 6012 116 2362 116
EA 150 2362 2.5 6012 125 2362 125
EA 150 2362 2.5 6012 125 2362 125
EA 150 2362 2.5 6012 123 2362 123
EA 150 2362 2.5 6012 121 2362 121
EA 150 2362 2.5 6012 124 2362 124
EA 150 2362 2.5 6012 121 2362 121
EA 150 2362 2.5 6012 124 2362 124
EA 150 2362 2.5 6012 123 2362 123
EA 150 2362 2.5 6012 124 2362 124
EA 150 2362 2.5 6012 124 2362 124
EA 150 2362 2.5 6012 121 2362 121
EA 150 2362 2.5 6012 124 2362 124
EA 150 2362 2.5 6012 125 2362 125
EA 150 2362 2.5 6012 120 2362 120
EA 150 2362 2.5 6012 125 2362 125
EA 150 2362 2.5 6012 122 2362 122
EA 150 2362 2.5 6012 125 2362 125
EA 150 2362 2.5 6012 122 2362 122
EA 150 2362 2.5 6012 121 2362 121
EA 150 2362 2.5 6012 119 2362 119
EA 150 2362 2.5 6012 122 2362 122
EA 150 2362 2.5 6012 119 2362 119
EA 150 2362 2.5 6012 119 2362 119
EA 150 2362 2.5 6012 122 2362 122
EA 150 2362 2.5 6012 123 2362 123
EA 150 2362 2.5 6012 126 2362 126
EA 150 2362 2.5 6012 118 2362 118
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 155 2743 155
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 156 2743 156
EA 200 2743 2.5 8477 157 2743 157
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 158 2743 158
EA 200 2743 2.5 8477 151 2743 151
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 151 2743 151
EA 200 2743 2.5 8477 155 2743 155
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 157 2743 157
EA 200 2743 2.5 8477 155 2743 155
EA 200 2743 2.5 8477 156 2743 156
EA 200 2743 2.5 8477 150 2743 150
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 158 2743 158
EA 200 2743 2.5 8477 152 2743 152
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 155 2743 155
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 157 2743 157
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 157 2743 157
EA 200 2743 2.5 8477 155 2743 155
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 156 2743 156
EA 200 2743 2.5 8477 158 2743 158
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 155 2743 155
EA 200 2743 2.5 8477 152 2743 152
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 157 2743 157
EA 200 2743 2.5 8477 156 2743 156
EA 200 2743 2.5 8477 151 2743 151
EA 200 2743 2.5 8477 159 2743 159
EA 200 2743 2.5 8477 159 2743 159
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 157 2743 157
EA 200 2743 2.5 8477 159 2743 159
EA 200 2743 2.5 8477 156 2743 156
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 158 2743 158
EA 200 2743 2.5 8477 152 2743 152
EA 200 2743 2.5 8477 152 2743 152
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 151 2743 151
EA 200 2743 2.5 8477 152 2743 152
EA 200 2743 2.5 8477 156 2743 156
EA 200 2743 2.5 8477 150 2743 150
EA 200 2743 2.5 8477 151 2743 151
EA 200 2743 2.5 8477 155 2743 155
EA 200 2743 2.5 8477 151 2743 151
EA 200 2743 2.5 8477 151 2743 151
EA 200 2743 2.5 8477 155 2743 155
EA 200 2743 2.5 8477 150 2743 150
EA 200 2743 2.5 8477 150 2743 150
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 156 2743 156
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 158 2743 158
EA 200 2743 2.5 8477 156 2743 156
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 152 2743 152
EA 200 2743 2.5 8477 158 2743 158
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 156 2743 156
EA 200 2743 2.5 8477 155 2743 155
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 151 2743 151
EA 200 2743 2.5 8477 155 2743 155
EA 200 2743 2.5 8477 152 2743 152
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 151 2743 151
EA 200 2743 2.5 8477 151 2743 151
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 152 2743 152
EA 200 2743 2.5 8477 156 2743 156
EA 200 2743 2.5 8477 153 2743 153
EA 200 2743 2.5 8477 152 2743 152
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 151 2743 151
EA 200 2743 2.5 8477 158 2743 158
EA 200 2743 2.5 8477 154 2743 154
EA 200 2743 2.5 8477 164 2743 164
EA 200 2743 2.5 8477 151 2743 151
EA 200 2743 2.5 8477 152 2743 152
EA 200 2743 2.5 8477 151 2743 151
EA 200 2743 2.5 8477 150 2743 150
EA 200 2743 2.5 8477 157 2743 157
EA 250 3103 2.5 11042 185 3103 185
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 188 3103 188
EA 250 3103 2.5 11042 193 3103 193
EA 250 3103 2.5 11042 185 3103 185
EA 250 3103 2.5 11042 185 3103 185
EA 250 3103 2.5 11042 184 3103 184
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 193 3103 193
EA 250 3103 2.5 11042 187 3103 187
EA 250 3103 2.5 11042 194 3103 194
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 188 3103 188
EA 250 3103 2.5 11042 194 3103 194
EA 250 3103 2.5 11042 189 3103 189
EA 250 3103 2.5 11042 185 3103 185
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 194 3103 194
EA 250 3103 2.5 11042 185 3103 185
EA 250 3103 2.5 11042 191 3103 191
EA 250 3103 2.5 11042 189 3103 189
EA 250 3103 2.5 11042 189 3103 189
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 191 3103 191
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 189 3103 189
EA 250 3103 2.5 11042 191 3103 191
EA 250 3103 2.5 11042 187 3103 187
EA 250 3103 2.5 11042 188 3103 188
EA 250 3103 2.5 11042 188 3103 188
EA 250 3103 2.5 11042 194 3103 194
EA 250 3103 2.5 11042 192 3103 192
EA 250 3103 2.5 11042 187 3103 187
EA 250 3103 2.5 11042 190 3103 190
EA 250 3103 2.5 11042 189 3103 189
EA 250 3103 2.5 11042 194 3103 194
EA 250 3103 2.5 11042 188 3103 188
